Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundreds,fiftys,duck
"RN ten Doeschate (NL)",2006-2011,33,32,9,1541,119,67,1757,87.7,5,9,1
"DL Houghton (ZIM)",1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5
"LRD Mendis (SL)",1975-1989,79,74,9,1527,80,23.49,2034,75.07,0,7,4
"Azhar Mahmood (PAK)",1996-2007,143,110,26,1521,67,18.1,1988,76.5,0,3,9
"RS Morton (WI)",2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7
"JJ Crowe (NZ)",1983-1990,75,71,12,1518,88*,25.72,2456,61.8,0,7,6
"JM Kemp (Afr/SA)",2001-2007,85,66,18,1512,100*,31.5,1819,83.12,1,10,6
"RD Shah (KENYA)",1998-2007,56,55,1,1506,113,27.88,2298,65.53,1,12,5
"MA Ouma (KENYA)",2004-2014,80,77,5,1501,61,20.84,2525,59.44,0,7,6
"HJH Marshall (NZ)",2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3
"DD Ebrahim (ZIM)",2001-2005,82,76,6,1443,121,20.61,2540,56.81,1,4,8
"MR Marsh (AUS)",2011-2018,53,49,9,1428,102*,35.7,1534,93.08,1,11,4
"Nasir Jamshed (PAK)",2008-2015,48,48,3,1418,112,31.51,1881,75.38,3,8,5
"SO Hetmyer (WI)",2017-2019,43,40,3,1416,139,38.27,1323,107.02,5,4,2
"HA Gomes (WI)",1978-1987,83,64,15,1415,101,28.87,2578,54.88,1,6,5
"N Boje (Afr/SA)",1995-2005,115,71,18,1414,129,26.67,1594,88.7,2,4,2
"MO Odumbe (KENYA)",1996-2003,61,59,5,1409,83,26.09,2014,69.96,0,11,6
"P Utseya (ZIM)",2004-2015,164,132,48,1406,68*,16.73,2410,58.34,0,4,16
"E Lewis (WI)",2016-2019,48,45,2,1402,176*,32.6,1704,82.27,2,7,2
"L Ronchi (AUS/NZ)",2008-2017,85,68,9,1397,170*,23.67,1220,114.5,1,4,7
"GP Howarth (NZ)",1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1
"JD Ryder (NZ)",2008-2014,48,42,1,1362,107,33.21,1429,95.31,3,6,5
"BC Broad (ENG)",1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2
"DO Obuya (KENYA)",2001-2012,74,73,3,1355,93,19.35,2135,63.46,0,6,10
"KM Jadhav (INDIA)",2014-2019,71,50,18,1354,120,42.31,1325,102.18,2,6,2
"Asad Shafiq (PAK)",2010-2017,60,58,4,1336,84,24.74,1979,67.5,0,9,5
"PG Fulton (NZ)",2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2
"Sabbir Rahman (BDESH)",2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5
"KMDN Kulasekara (SL)",2003-2017,184,123,37,1327,73,15.43,1629,81.46,0,4,13
"JR Hopes (AUS)",2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1
"SM Katich (AUS)",2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3
"Javed Omar (BDESH)",1995-2007,59,59,4,1312,85*,23.85,2528,51.89,0,10,2
"Raqibul Hasan (BDESH)",2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6
"AA Obanda (KENYA)",2007-2014,49,45,2,1306,96*,30.37,1764,74.03,0,9,2
"MS Sinclair (NZ)",2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8
"PN Kirsten (SA)",1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0
"J Charles (WI)",2012-2016,48,48,0,1283,130,26.72,1531,83.8,2,4,7
"MJ Prior (ENG)",2004-2011,68,62,9,1282,87,24.18,1670,76.76,0,3,5
"Nasir Hossain (BDESH)",2011-2018,65,52,8,1281,100,29.11,1605,79.81,1,6,4
"TM Head (AUS)",2016-2018,42,39,2,1273,128,34.4,1414,90.02,1,10,1
"NR Mongia (INDIA)",1994-2000,140,96,33,1272,69,20.19,1846,68.9,0,2,4
"C Munro (NZ)",2013-2019,57,53,2,1271,87,24.92,1214,104.69,0,8,7
"JEC Franklin (NZ)",2001-2013,110,80,27,1270,98*,23.96,1651,76.92,0,4,5
"AB Agarkar (INDIA)",1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10
"Shoaib Mohammad (PAK)",1984-1993,63,58,6,1269,126*,24.4,2492,50.92,1,8,8
"Basit Ali (PAK)",1993-1996,50,43,6,1265,127*,34.18,1669,75.79,1,9,3
"MN Waller (ZIM)",2009-2018,79,72,6,1259,99*,19.07,1639,76.81,0,5,10
"MD Gunathilaka (SL)",2015-2019,38,37,1,1249,133,34.69,1454,85.9,2,8,1
"JDS Neesham (NZ)",2013-2019,59,50,10,1247,97*,31.17,1260,98.96,0,6,2
"SP O'Donnell (AUS)",1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5
"RR Rossouw (SA)",2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5
"Harbhajan Singh (Asia/INDIA)",1998-2015,236,128,35,1237,49,13.3,1526,81.06,0,0,17
"SG Law (AUS)",1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3
"Alok Kapali (BDESH)",2002-2011,69,66,3,1235,115,19.6,1817,67.96,1,5,5
"GM Hamilton (SCOT)",1999-2010,38,38,3,1231,119,35.17,1847,66.64,2,7,1
"D Mongia (INDIA)",2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4
"RW Marsh (AUS)",1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7
"HDPK Dharmasena (SL)",1994-2004,141,87,33,1222,69*,22.62,1879,65.03,0,4,2
"Shaiman Anwar (UAE)",2014-2019,40,40,1,1219,106,31.25,1477,82.53,1,11,2
"Noor Ali Zadran (AFG)",2009-2019,51,50,1,1216,114,24.81,1923,63.23,1,7,4
"TM Moody (AUS)",1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6
"Junaid Siddique (BDESH)",2007-2011,54,53,1,1196,100,23,1753,68.22,1,6,6
"Mohammad Rafique (Asia/BDESH)",1995-2007,125,106,17,1191,77,13.38,1663,71.61,0,2,15
"CR Woakes (ENG)",2011-2019,99,68,20,1186,95*,24.7,1316,90.12,0,4,6
"B Lee (AUS)",2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16
"JA Rudolph (Afr/SA)",2003-2006,45,39,6,1174,81,35.57,1725,68.05,0,7,0
"Nawroz Mangal (AFG)",2009-2016,49,48,6,1139,129,27.11,1512,75.33,2,4,4
"MH Cross (SCOT)",2014-2019,52,48,1,1136,114,24.17,1536,73.95,2,5,0
"T Mishra (KENYA)",2006-2013,42,40,7,1128,72,34.18,1534,73.53,0,8,4
"HM Nicholls (NZ)",2015-2019,45,43,10,1120,124*,33.93,1359,82.41,1,9,5
"PL Mommsen (SCOT)",2010-2017,44,42,6,1115,139*,30.97,1615,69.04,2,6,2
"MF Maharoof (SL)",2004-2016,109,75,18,1113,69*,19.52,1294,86.01,0,2,3
"CJ Anderson (NZ)",2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4
"HS Modi (KENYA)",1996-2006,63,56,9,1109,78*,23.59,1906,58.18,0,5,5
"ES Szwarczynski (NL)",2006-2014,41,40,3,1102,98,29.78,1615,68.23,0,10,2
"VS Solanki (ENG)",2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2
"B Zuiderent (NL)",1996-2011,57,56,10,1097,77*,23.84,1873,58.56,0,8,7
"PA Strang (ZIM)",1994-2001,95,73,24,1090,47,22.24,1651,66.02,0,0,5
"G Boycott (ENG)",1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1
"F Behardien (SA)",2013-2018,59,49,14,1074,70,30.68,1097,97.9,0,6,4
"NL McCullum (NZ)",2009-2015,84,62,11,1070,65,20.98,1220,87.7,0,4,3
"Asif Mujtaba (PAK)",1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8
"DW Randall (ENG)",1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4
"Hashmatullah Shahidi (AFG)",2013-2019,39,39,6,1062,97*,32.18,1667,63.7,0,9,4
"DS Smith (WI)",2003-2013,47,45,2,1059,107,24.62,1506,70.31,1,5,4
"JK Kamande (KENYA)",1999-2011,86,72,11,1055,74,17.29,1685,62.61,0,3,8
"IDS Smith (NZ)",1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7
"C Kieswetter (ENG)",2010-2013,46,40,5,1054,107,30.11,1172,89.93,1,5,4
"Anamul Haque (BDESH)",2012-2019,38,35,0,1052,120,30.05,1488,70.69,3,3,6
"MP Stoinis (AUS)",2015-2019,41,38,7,1050,146*,33.87,1143,91.86,1,6,3
"KD Mills (NZ)",2001-2015,170,101,34,1047,54,15.62,1282,81.66,0,2,8
"JM How (NZ)",2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3
"Gulbadin Naib (AFG)",2011-2019,65,56,8,1041,82*,21.68,1424,73.1,0,5,5
"AD Russell (WI)",2011-2019,56,47,9,1034,92*,27.21,794,130.22,0,4,6
"JP Faulkner (AUS)",2013-2017,69,52,22,1032,116,34.4,990,104.24,1,4,4
"DSBP Kuruppu (SL)",1983-1990,54,52,1,1022,72,20.03,1978,51.66,0,4,3
"AG Prince (Afr/SA)",2002-2007,52,41,12,1018,89*,35.1,1502,67.77,0,3,4
"SK Warne (AUS/ICC)",1993-2005,194,107,29,1018,55,13.05,1413,72.04,0,1,10
"SM Patil (INDIA)",1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4
"KOA Powell (WI)",2009-2018,46,44,0,1005,83,22.84,1278,78.63,0,9,4
"Rajin Saleh (BDESH)",2003-2006,43,43,1,1005,108*,23.92,1833,54.82,1,6,5
"PW Borren (NL)",2006-2014,58,50,5,1004,96,22.31,1176,85.37,0,5,5
"NFI McCallum (SCOT)",2006-2011,43,42,6,1002,121*,27.83,1451,69.05,2,4,3
"Khaled Mahmud (BDESH)",1998-2006,77,72,3,991,50,14.36,1461,67.83,0,1,9
"BL Cairns (NZ)",1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6
"MJ Slater (AUS)",1993-1997,42,42,1,987,73,24.07,1634,60.4,0,9,3
"MJ Horne (NZ)",1997-2002,50,48,0,980,74,20.41,1515,64.68,0,5,3
"Akram Khan (BDESH)",1988-2003,44,44,2,976,65,23.23,1721,56.71,0,5,3
"TLW Cooper (NL)",2010-2013,23,22,2,976,101,48.8,1391,70.16,1,8,0
"Javed Ahmadi (AFG)",2010-2019,44,41,0,976,81,23.8,1291,75.6,0,7,2
"Naeem Islam (BDESH)",2008-2014,59,51,15,975,84,27.08,1473,66.19,0,5,5
"DF Watts (SCOT)",2006-2011,36,35,1,974,101,28.64,1559,62.47,1,9,4
"Waqar Younis (PAK)",1989-2003,262,139,45,969,37,10.3,1445,67.05,0,0,15
"Fawad Alam (PAK)",2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3
"SA Thomson (NZ)",1990-1996,56,52,10,964,83,22.95,1427,67.55,0,5,2
"JF Mooney (IRE)",2006-2015,64,55,14,963,96,23.48,1215,79.25,0,3,6
"GM Ritchie (AUS)",1982-1987,44,42,7,959,84,27.4,1479,64.84,0,6,2
"HH Pandya (INDIA)",2016-2019,54,38,6,957,83,29.9,828,115.57,0,4,3
"RR Watson (SCOT)",2006-2010,35,35,4,956,123*,30.83,1286,74.33,1,6,4
"MD Marshall (WI)",1980-1992,136,83,19,955,66,14.92,1246,76.64,0,2,5
"SF Mire (ZIM)",2014-2019,47,47,0,955,112,20.31,1190,80.25,1,3,4
"Imad Wasim (PAK)",2015-2019,53,39,16,952,63*,41.39,868,109.67,0,5,1
"MG Johnson (AUS)",2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6
"RS Madugalle (SL)",1979-1988,63,56,5,950,73,18.62,1574,60.35,0,3,4
"NT Broom (NZ)",2009-2017,39,39,4,943,109*,26.94,1161,81.22,1,5,7
"A Kumble (Asia/INDIA)",1990-2007,271,136,47,938,26,10.53,1536,61.06,0,0,18
"CM Spearman (NZ)",1995-2001,51,50,0,936,86,18.72,1202,77.87,0,5,6
"RV Uthappa (INDIA)",2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4
"W Barresi (NL)",2010-2019,32,31,5,927,137*,35.65,1225,75.67,1,6,4
"AN Kervezee (NL)",2006-2012,39,36,3,924,92,28,1263,73.15,0,4,2
"S Dhaniram (CAN)",2006-2010,44,41,4,915,92,24.72,1126,81.26,0,6,2
"AJ Hall (SA)",1999-2007,88,56,13,905,81,21.04,1206,75.04,0,3,5
"Rashid Khan (AFG)",2015-2019,71,56,9,905,60*,19.25,906,99.88,0,4,6
"MJ Santner (NZ)",2015-2019,69,54,21,898,67,27.21,1021,87.95,0,2,3
"TD Paine (AUS)",2009-2018,35,35,3,890,111,27.81,1257,70.8,1,5,1
"KL Rahul (INDIA)",2016-2019,26,25,4,889,111,42.33,1098,80.96,3,5,2
"JWA Taylor (ENG)",2011-2015,27,26,5,887,101,42.23,1107,80.12,1,7,2
"J Srinath (INDIA)",1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19
"Yashpal Sharma (INDIA)",1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0
"TT Bresnan (ENG)",2006-2015,85,64,20,871,80,19.79,965,90.25,0,1,6
"SHT Kandamby (SL)",2004-2014,39,36,6,870,93*,29,1250,69.6,0,5,2
"AC Voges (AUS)",2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,0
"DJ Richardson (SA)",1991-1998,122,77,33,868,53,19.72,1298,66.87,0,1,6
"MA Vermeulen (ZIM)",2000-2009,43,43,4,868,92,22.25,1227,70.74,0,6,4
"HK Badani (INDIA)",2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1
"GO Jones (ENG/PNG)",2004-2014,51,43,8,862,80,24.62,1117,77.17,0,4,1
"TT Samaraweera (SL)",1998-2011,53,42,11,862,105*,27.8,1244,69.29,2,0,4
"SB Smith (AUS)",1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1
"DL Amiss (ENG)",1972-1977,18,18,0,859,137,47.72,1185,72.48,4,1,0
"RA Harper (WI)",1983-1996,105,73,20,855,45*,16.13,1162,73.58,0,0,5
"WB Phillips (AUS)",1982-1986,48,41,6,852,75*,24.34,994,85.71,0,6,1
"CWJ Athey (ENG)",1980-1988,31,30,3,848,142*,31.4,1495,56.72,2,4,1
"RS Kalpage (SL)",1992-1999,86,69,28,844,51,20.58,1320,63.93,0,1,2
"MAR Samarasekera (SL)",1983-1994,39,39,2,844,76,22.81,1207,69.92,0,4,2
"D Ganga (WI)",1999-2006,35,34,1,843,71,25.54,1414,59.61,0,9,5
"CA Ingram (SA)",2010-2013,31,29,3,843,124,32.42,1024,82.32,3,3,5
"BM McMillan (SA)",1991-1998,78,52,16,841,127,23.36,1147,73.32,1,0,3
"CK Coventry (ZIM)",2003-2015,39,35,1,831,194*,24.44,937,88.68,1,3,5
"Anshuman Rath (HKG)",2014-2018,18,18,2,828,143*,51.75,1080,76.66,1,7,1
"PJ Moor (ZIM)",2014-2019,49,45,5,827,58*,20.67,1225,67.51,0,4,3
"DW Hookes (AUS)",1977-1986,39,36,2,826,76,24.29,1146,72.07,0,5,3
"PJ Hughes (AUS)",2013-2014,25,24,1,826,138*,35.91,1100,75.09,2,4,1
"AI Kallicharran (WI)",1973-1981,31,28,4,826,78,34.41,1329,62.15,0,6,0
"JR Ratnayeke (SL)",1982-1990,78,69,14,824,50,14.98,1571,52.45,0,1,4
"GN Yallop (AUS)",1978-1984,30,27,6,823,66*,39.19,1288,63.89,0,7,1
"AC Waller (ZIM)",1987-1997,39,38,3,818,83*,23.37,1172,69.79,0,4,4
"DM de Silva (SL)",2016-2019,42,39,7,814,84,25.43,1073,75.86,0,4,3
"Sharjeel Khan (PAK)",2013-2017,25,25,0,812,152,32.48,716,113.4,1,6,2
"YK Pathan (INDIA)",2008-2012,57,41,11,810,123*,27,713,113.6,2,3,7
"AT Carey (AUS)",2018-2019,29,26,6,804,85,40.2,874,91.99,0,4,1
"JM Davison (CAN)",2003-2011,32,32,2,799,111,26.63,767,104.17,1,5,5
"Aminul Islam (BDESH)",1988-2002,39,39,5,794,70,23.35,1403,56.59,0,3,5
"Z Khan (Asia/INDIA)",2000-2012,200,101,35,792,34*,12,1078,73.46,0,0,15
"GB Hogg (AUS)",1996-2008,123,65,26,790,71*,20.25,1004,78.68,0,2,9
"Majid Khan (PAK)",1973-1982,23,22,1,786,109,37.42,1052,74.71,1,7,1
"S Wettimuny (SL)",1982-1987,35,33,1,786,86*,24.56,1636,48.04,0,4,1
"Babar Hayat (HKG)",2014-2018,22,22,2,784,89,39.2,999,78.47,0,8,3
"R Lamba (INDIA)",1986-1989,32,31,2,783,102,27,1166,67.15,1,6,2
"IH Romaine (BMUDA)",2006-2009,35,34,3,783,101,25.25,1222,64.07,1,4,5
"JA Morkel (Afr/SA)",2004-2012,58,43,10,782,97,23.69,780,100.25,0,2,1
"Wasim Raja (PAK)",1973-1985,54,45,10,782,60,22.34,1168,66.95,0,2,6
"Abdur Razzak (BDESH)",2004-2014,153,97,39,779,53*,13.43,1020,76.37,0,1,12
"AR White (IRE)",2006-2014,61,46,3,776,79,18.04,1235,62.83,0,1,4
"Liton Das (BDESH)",2015-2019,33,33,2,768,121,24.77,871,88.17,1,3,4
"Saleem Yousuf (PAK)",1982-1990,86,62,19,768,62,17.86,1024,75,0,4,5
"CN Evans (ZIM)",1992-2002,53,47,5,764,96*,18.19,1006,75.94,0,2,3
"Rizwan Cheema (CAN)",2008-2013,33,32,1,764,94,24.64,685,111.53,0,6,3
"KWR Fletcher (ENG)",1971-1982,24,22,3,757,131,39.84,1134,66.75,1,5,0
"J Dyson (AUS)",1980-1983,29,27,4,755,79,32.82,1553,48.61,0,4,1
"AR Cusack (IRE)",2007-2015,59,47,14,745,71,22.57,1159,64.27,0,2,8
"AG Cremer (ZIM)",2009-2018,96,71,20,744,58,14.58,1196,62.2,0,1,7
"G Fowler (ENG)",1983-1986,26,26,2,744,81*,31,1321,56.32,0,4,2
"DT Johnston (IRE)",2006-2013,67,53,15,743,45*,19.55,785,94.64,0,0,3
"Manzoor Elahi (PAK)",1984-1995,54,46,13,741,50*,22.45,827,89.6,0,1,1
"AM Samad (CAN)",2003-2009,27,27,2,740,130,29.6,1045,70.81,1,2,2
"A Vala (PNG)",2014-2019,27,27,0,739,104,27.37,1082,68.29,1,2,1
"PA Patel (INDIA)",2003-2012,38,34,3,736,95,23.74,962,76.5,0,4,2
"Sohaib Maqsood (PAK)",2013-2016,26,25,2,735,89*,31.95,881,83.42,0,5,1
"MW Machan (SCOT)",2013-2016,23,22,0,734,114,33.36,952,77.1,1,3,1
"CJ Nevin (NZ)",2000-2003,37,36,0,732,74,20.33,1000,73.2,0,4,4
"N Pooran (WI)",2019-2019,19,17,3,728,118,52,661,110.13,1,5,1
"CJ Tavare (ENG)",1980-1984,29,28,2,720,83*,27.69,1471,48.94,0,4,1
"TP Ura (PNG)",2014-2019,26,26,0,718,151,27.61,892,80.49,1,2,2
"MA Ealham (ENG)",1996-2001,64,45,4,716,45,17.46,1092,65.56,0,0,4
"IJ Harvey (AUS)",1997-2004,73,51,11,715,48*,17.87,811,88.16,0,0,2
"Muhammad Usman (UAE)",2016-2019,30,30,4,713,80,27.42,928,76.83,0,3,2
"Saqlain Mushtaq (PAK)",1995-2003,169,98,38,711,37*,11.85,1434,49.58,0,0,13
"LJ Wright (ENG)",2007-2014,50,39,4,707,52,20.2,820,86.21,0,2,5
"Mohammad Rizwan (PAK)",2015-2019,32,28,7,705,115,33.57,787,89.58,2,3,1
"J Mubarak (SL)",2002-2013,40,37,6,704,72,22.7,1115,63.13,0,4,1
"PA Wallace (WI)",1991-2000,33,33,0,701,103,21.24,1151,60.9,1,2,4
"SM Ervine (ZIM)",2001-2004,42,34,7,698,100,25.85,816,85.53,1,2,5
"PL Symcox (SA)",1993-1999,80,54,13,694,61,16.92,830,83.61,0,3,6
"Rameez Shahzad (UAE)",2016-2018,15,15,2,691,121*,53.15,817,84.57,2,4,1
"PAJ DeFreitas (ENG)",1987-1997,103,66,23,690,67,16.04,823,83.83,0,1,4
"N Deonarine (WI)",2005-2015,31,29,3,682,65*,26.23,989,68.95,0,4,0
"Wahab Riaz (PAK)",2008-2019,89,64,15,680,54*,13.87,787,86.4,0,2,12
"JR Murray (WI)",1992-1999,55,36,6,678,86,22.6,929,72.98,0,5,4
"TG Southee (NZ)",2008-2019,140,85,32,676,55,12.75,686,98.54,0,1,12
"R Ashwin (INDIA)",2010-2017,111,61,19,675,65,16.07,776,86.98,0,1,6
"Nizakat Khan (HKG)",2014-2018,20,20,0,675,94,33.75,814,82.92,0,3,0
"M Muralitharan (Asia/ICC/SL)",1993-2011,350,162,63,674,33*,6.8,869,77.56,0,0,25
"IM Chappell (AUS)",1971-1980,16,16,2,673,86,48.07,874,77,0,8,0
"DA Marillier (ZIM)",2000-2003,48,41,4,672,100,18.16,949,70.81,1,3,4
"Rohan Mustafa (UAE)",2014-2019,34,33,0,671,109,20.33,985,68.12,1,1,3
"R Powell (WI)",2016-2018,34,31,3,670,101,23.92,806,83.12,1,2,2
"UC Hathurusingha (SL)",1992-1999,35,33,1,669,66,20.9,1318,50.75,0,4,3
"AC Botha (IRE)",2006-2011,42,38,4,666,56,19.58,970,68.65,0,2,5
"HE van der Dussen (SA)",2019-2019,18,14,5,664,95,73.77,811,81.87,0,7,0
"CJ Ferguson (AUS)",2009-2011,30,25,9,663,71*,41.43,777,85.32,0,5,0
"LE Plunkett (ENG)",2005-2019,89,50,19,646,56,20.83,629,102.7,0,1,3
"S Ramesh (INDIA)",1999-1999,24,24,1,646,82,28.08,1092,59.15,0,6,3
"AK Markram (SA)",2017-2019,26,24,1,643,67*,27.95,755,85.16,0,2,1
"Qasim Umar (PAK)",1983-1987,31,31,3,642,69,22.92,1125,57.06,0,4,3
"Abdul Qadir (PAK)",1983-1993,104,68,26,641,41*,15.26,849,75.5,0,0,6
"DL Hemp (BMUDA)",2006-2009,22,22,3,641,102*,33.73,912,70.28,1,4,4
"CEL Ambrose (WI)",1988-2000,176,96,36,639,31*,10.65,985,64.87,0,0,13
"BMAJ Mendis (SL)",2010-2019,58,44,10,636,72,18.7,769,82.7,0,1,2
"C de Grandhomme (NZ)",2012-2019,38,29,6,633,74*,27.52,590,107.28,0,3,2
"JF Reid (NZ)",1980-1986,25,24,1,633,88,27.52,1084,58.39,0,4,0
"DLS van Bunge (NL)",2002-2013,37,31,1,633,80,21.1,953,66.42,0,3,2
"PSP Handscomb (AUS)",2017-2019,22,20,1,632,117,33.26,649,97.38,1,4,2
"RMH Binny (INDIA)",1980-1987,72,49,10,629,57,16.12,1046,60.13,0,1,4
"GR Larsen (NZ)",1990-1999,121,70,27,629,37,14.62,970,64.84,0,0,6
"AM Blignaut (ZIM)",1999-2010,54,41,8,626,63*,18.96,589,106.28,0,5,3
"DJ Nash (NZ)",1992-2002,81,53,13,624,42,15.6,940,66.38,0,0,3
"DN Patel (NZ)",1987-1997,75,63,10,623,71,11.75,868,71.77,0,1,6
"RR Patel (KENYA)",2008-2014,39,35,4,621,92,20.03,978,63.49,0,2,3
"GRJ Matthews (AUS)",1984-1993,59,50,13,619,54,16.72,911,67.94,0,1,5
"WV Raman (INDIA)",1988-1996,27,27,1,617,114,23.73,1109,55.63,1,3,6
"GJ Rennie (ZIM)",1996-2003,40,37,6,617,76,19.9,928,66.48,0,2,5
"SFAF Bacchus (WI)",1978-1983,29,26,3,612,80*,26.6,928,65.94,0,3,2
"RJ Ratnayake (SL)",1982-1993,70,55,18,612,33*,16.54,705,86.8,0,0,4
"J Botha (Afr/SA)",2005-2012,78,50,18,609,46,19.03,710,85.77,0,0,2
"D Gough (ENG/ICC)",1994-2006,159,87,38,609,46*,12.42,947,64.3,0,0,10
"AJ Hollioake (ENG)",1996-1999,35,30,6,606,83*,25.25,807,75.09,0,3,1
"RW Chakabva (ZIM)",2008-2019,38,35,2,599,78*,18.15,1017,58.89,0,1,2
"RIC Holder (WI)",1993-1997,37,31,6,599,65,23.96,876,68.37,0,2,4
"RT Robinson (ENG)",1984-1988,26,26,0,597,83,22.96,1026,58.18,0,3,2
"BM Laird (AUS)",1979-1982,23,23,3,594,117*,29.7,1105,53.75,1,2,0
"Mansoor Akhtar (PAK)",1980-1990,41,35,1,593,47,17.44,1148,51.65,0,0,1
"W Larkins (ENG)",1979-1991,25,24,0,591,124,24.62,1047,56.44,1,0,3
"LOB Cann (BMUDA)",2006-2009,26,25,3,590,52,26.81,504,117.06,0,1,3
"AU Rashid (ENG)",2009-2019,99,43,12,588,69,18.96,574,102.43,0,1,4
"FDM Karunaratne (SL)",2011-2019,28,24,2,586,97,26.63,801,73.15,0,4,3
"RJ Nicol (NZ)",2011-2013,22,21,2,586,146,30.84,776,75.51,2,2,2
"SB Joshi (INDIA)",1996-2001,69,45,11,584,61*,17.17,653,89.43,0,1,4
"RT Latham (NZ)",1990-1994,33,33,4,583,60,20.1,1008,57.83,0,1,3
"Khurram Khan (UAE)",2004-2015,16,16,2,582,132*,41.57,725,80.27,1,3,0
"R Mutumbami (ZIM)",2014-2019,33,31,2,582,74,20.06,814,71.49,0,3,3
"JL Carter (WI)",2015-2019,33,28,3,581,54,23.24,822,70.68,0,3,1
"GH Dockrell (IRE)",2010-2019,87,57,22,579,62*,16.54,835,69.34,0,2,5
"DAS Gunaratne (SL)",2016-2019,31,25,4,575,114*,27.38,724,79.41,1,1,0
"BJ Hodge (AUS)",2005-2007,25,21,2,575,123,30.26,657,87.51,1,3,3
"MJR Rindel (SA)",1994-1999,22,22,1,575,106,27.38,860,66.86,1,2,1
"Tushar Imran (BDESH)",2001-2007,41,40,0,574,65,14.35,970,59.17,0,2,8
"BJ Watling (NZ)",2010-2018,28,25,2,573,96*,24.91,838,68.37,0,5,3
"C White (ENG)",1994-2003,51,41,5,568,57*,15.77,928,61.2,0,1,9
"SL Malinga (SL)",2004-2019,226,119,36,567,56,6.83,761,74.5,0,1,26
"RM Haq (SCOT)",2006-2015,54,40,6,566,71,16.64,931,60.79,0,3,6
"KS More (INDIA)",1984-1993,94,65,22,563,42*,13.09,808,69.67,0,0,5
"HG Munsey (SCOT)",2017-2019,25,25,3,562,61,25.54,732,76.77,0,2,3
"CR Brathwaite (WI)",2011-2019,44,37,3,559,101,16.44,614,91.04,1,1,2
"Mominul Haque (BDESH)",2012-2018,28,26,1,557,60,22.28,749,74.36,0,3,1
"Aamer Malik (PAK)",1988-1994,24,23,1,556,90,25.27,989,56.21,0,5,1
"RJ Peterson (SA)",2002-2014,79,41,14,556,68,20.59,688,80.81,0,1,4
"GS Blewett (AUS)",1995-1999,32,30,3,551,57*,20.4,889,61.97,0,2,3
"JN Mohammed (WI)",2011-2018,28,24,1,551,91*,23.95,795,69.3,0,4,2
"Mosaddek Hossain (BDESH)",2016-2019,35,30,10,549,52*,27.45,633,86.72,0,2,1
"AL Phehlukwayo (SA)",2016-2019,52,32,15,549,69*,32.29,610,90,0,1,3
"TJ Friend (ZIM)",2000-2004,51,39,5,548,91,16.11,724,75.69,0,3,5
"T Duffin (ZIM)",2006-2007,23,23,0,546,88,23.73,993,54.98,0,3,1
"Mohammad Wasim (PAK)",1996-2000,25,25,2,543,76,23.6,1043,52.06,0,3,4
"XM Marshall (USA/WI)",2005-2019,33,33,3,542,157*,18.06,810,66.91,1,1,6
"AP Kuiper (SA)",1991-1996,25,23,7,539,63*,33.68,662,81.41,0,3,0
"P Willey (ENG)",1977-1986,26,24,1,538,64,23.39,855,62.92,0,5,3
